                Time                  x1                  y1                  x2                  y2
               23.33       -0.9314388305       -0.3638979321         -1.54416751        -1.154191273
               23.34        -0.908318381       -0.4182794745        -1.584180452        -1.155307602
               23.35       -0.8793502704        -0.476175495          -1.6177938        -1.150490817
               23.36       -0.8441996517       -0.5360288688        -1.642367821        -1.138463573
               23.37       -0.8036105008       -0.5951555788        -1.655528109        -1.118831422
               23.38       -0.7594221416       -0.6505981946        -1.656426419        -1.092620056
               23.39       -0.7137170415       -0.7004341402        -1.646131883        -1.061823906
                23.4       -0.6679916472       -0.7441687707        -1.626737182         -1.02843449
               23.41       -0.6230178275       -0.7822076365        -1.600350065       -0.9939189908
               23.42       -0.5790817239       -0.8152694996        -1.568667314       -0.9592151848
               23.43       -0.5362185935        -0.844079155        -1.532947974       -0.9248909218
               23.44       -0.4943515012        -0.869262097         -1.49410896        -0.891285339
               23.45       -0.4533598123       -0.8913275944        -1.452824138       -0.8586005223
               23.46       -0.4131103694       -0.9106809665        -1.409599252       -0.8269557757
               23.47       -0.3734708451       -0.9276419179        -1.364823742       -0.7964190769
               23.48       -0.3343149476       -0.9424614134        -1.318805784       -0.7670254074
               23.49       -0.2955240233       -0.9553353085        -1.271796057       -0.7387875866
                23.5       -0.2569871619        -0.966414817        -1.224004107       -0.7117027661
               23.51       -0.2186007781       -0.9758143777        -1.175609841       -0.6857563596
               23.52       -0.1802681303       -0.9836175076        -1.126771787        -0.660924421
               23.53       -0.1418989927       -0.9898811423        -1.077633156       -0.6371750667
               23.54       -0.1034095922       -0.9946388572        -1.028326405       -0.6144693044
               23.55      -0.06472286865        -0.997903277       -0.9789767385       -0.5927614976
               23.56      -0.02576909559       -0.9996679217        -0.929704839       -0.5719996252
               23.57       0.01351311369       -0.9999086937        -0.880629027       -0.5521254513
               23.58       0.05317540445       -0.9985851873       -0.8318669601       -0.5330747008
               23.59        0.0932578864       -0.9956419872       -0.7835369458       -0.5147773262
                23.6        0.1337869757       -0.9910101135       -0.7357589025       -0.4971579437
               23.61         0.174772934       -0.9846087657       -0.6886549712       -0.4801365142
               23.62        0.2162072077       -0.9763475013       -0.6423497681       -0.4636293339
               23.63        0.2580597219       -0.9661289665       -0.5969702521       -0.4475503866
               23.64        0.3002763323        -0.953852255       -0.5526451797       -0.4318130855
               23.65        0.3427766887       -0.9394169158       -0.5095041257       -0.4163323974
               23.66        0.3854527897       -0.9227275583       -0.4676760635       -0.4010272996
               23.67        0.4281685105       -0.9036989137       -0.4272875223       -0.3858234693
               23.68        0.4707603511       -0.8822611245       -0.3884603753       -0.3706560587
               23.69        0.5130395728       -0.8583649554        -0.351309342       -0.3554723691
                23.7        0.5547957762       -0.8319865664       -0.3159393306       -0.3402342164
               23.71        0.5958018337       -0.8031314805       -0.2824427657       -0.3249197871
               23.72        0.6358199473       -0.7718374147       -0.2508970649       -0.3095248144
               23.73        0.6746084757       -0.7381757274        -0.221362423       -0.2940629615
               23.74         0.711929095       -0.7022513536       -0.1938800397       -0.2785653715
               23.75        0.7475538265       -0.6642012319       -0.1684708955       -0.2630794192
               23.76        0.7812714929       -0.6241913604       -0.1451351313       -0.2476667707
               23.77        0.8128932414       -0.5824127215       -0.1238520425       -0.2324009028
               23.78         0.842256878       -0.5390763874       -0.1045806541        -0.217364268
               23.79        0.8692298791       -0.4944081485       -0.0872608084       -0.2026452915
                23.8         0.893711061       -0.4486429978      -0.07181467156       -0.1883353725
               23.81        0.9156309871       -0.4020197699      -0.05814855722        -0.174526036
               23.82        0.9349512646       -0.3547761729      -0.04615496027       -0.1613063418
               23.83        0.9516629253       -0.3071443906      -0.03571470382       -0.1487606238
               23.84        0.9657841091       -0.2593473627      -0.02669911396       -0.1369665968
               23.85         0.977357263       -0.2115957952      -0.01897215305       -0.1259938396
               23.86        0.9864460538       -0.1640859011      -0.01239245847       -0.1159026426
               23.87        0.9931321697       -0.1169978359     -0.006815250101       -0.1067431919
               23.88        0.9975121494       -0.0704947643      -0.00209408316      -0.09855505336
               23.89        0.9996943528      -0.02472247955      0.001917564673      -0.09136691735
                23.9        0.9997961508       0.02019051231      0.005364873833      -0.08519656153
               23.91        0.9979413903       0.06413253049      0.008390426003      -0.08005099492
               23.92        0.9942581633        0.1070079653       0.01113309977      -0.07592674816
               23.93        0.9888768934        0.1487363094       0.01372710568      -0.07281028061
               23.94         0.981928736        0.1892510432       0.01630114589      -0.07067848023
               23.95        0.9735442798        0.2284984362       0.01897768356      -0.06949923732
               23.96        0.9638525262        0.2664363109       0.02187230734      -0.06923207798
               23.97         0.952980122        0.3030328151       0.02509317822      -0.06982884759
               23.98        0.9410508137        0.3382652303       0.02874054764      -0.07123443814
               23.99        0.9281850924        0.3721188442       0.03290633841        -0.073387556
                  24        0.9144999977        0.4045859046       0.03767378243      -0.07622152901
               24.01        0.9001090484        0.4356646658       0.04311711239      -0.07966515253
               24.02        0.8851222702        0.4653585358       0.04930130703      -0.08364357492
               24.03        0.8696462912        0.4936753268       0.05628189251      -0.08807922198
               24.04        0.8537844784        0.5206266075       0.06410480468      -0.09289275888
               24.05        0.8376370911        0.5462271539       0.07280631921      -0.09800408596
               24.06        0.8213014276        0.5704944917       0.08241305757       -0.1033333622
               24.07        0.8048719489          0.59344852       0.09294207796        -0.108802047
               24.08        0.7884403603        0.6151112081        0.1044010598       -0.1143339478
               24.09         0.772095641        0.6355063502        0.1167885893       -0.1198562568
                24.1        0.7559240129        0.6546593669        0.1300945522        -0.125300559
               24.11        0.7400088435        0.6725971391        0.1443006351       -0.1306037887
               24.12        0.7244304844        0.6893478608        0.1593809357       -0.1357091114
               24.13        0.7092660496        0.7049408988        0.1753026751       -0.1405667089
               24.14        0.6945891419        0.7194066472        0.1920270026       -0.1451344428
               24.15        0.6804695398        0.7327763679        0.2095098776       -0.1493783785
               24.16        0.6669728608        0.7450820109        0.2277030103       -0.1532731519
               24.17        0.6541602167         0.756356008        0.2465548374       -0.1568021682
               24.18        0.6420878803        0.7666310417        0.2660115098       -0.1599576285
               24.19        0.6308069792        0.7759397882        0.2860178647       -0.1627403844
                24.2        0.6203632357        0.7843146408        0.3065183585       -0.1651596311
               24.21        0.6107967622         0.791787418        0.3274579368       -0.1672324515
               24.22        0.6021419267        0.7983890656        0.3487828213       -0.1689832328
               24.23        0.5944272913        0.8041493614        0.3704411986       -0.1704429792
               24.24        0.5876756282        0.8090966296        0.3923837999       -0.1716485472
               24.25        0.5819040111        0.8132574758         0.414564366       -0.1726418311
               24.26        0.5771239762        0.8166565472        0.4369399965       -0.1734689256
               24.27        0.5733417466        0.8193163257        0.4594713877       -0.1741792915
               24.28        0.5705585081        0.8212569567        0.4821229663       -0.1748249451
               24.29         0.568770726        0.8224961162        0.5048629292       -0.1754596911
                24.3        0.5679704913        0.8230489178        0.5276632025       -0.1761384132
               24.31        0.5681458826        0.8229278559        0.5504993317       -0.1769164316
               24.32         0.569281335        0.8221427867        0.5733503188        -0.177848935
               24.33        0.5713580032        0.8207009396        0.5961984169       -0.1789904898
               24.34        0.5743541125        0.8186069591        0.6190288971       -0.1803946243
               24.35        0.5782452894        0.8158629697        0.6418297971       -0.1821134881
               24.36         0.583004866        0.8124686617        0.6645916611       -0.1841975787
               24.37        0.5886041561        0.8084213922         0.687307279       -0.1866955323
               24.38        0.5950126985        0.8037162986        0.7099714311       -0.1896539697
               24.39        0.6021984675        0.7983464196        0.7325806428       -0.1931173913
                24.4        0.6101280502        0.7923028224        0.7551329533       -0.1971281141
               24.41        0.6187667909        0.7855747313        0.7776276995        -0.201726242
               24.42        0.6280789055        0.7781496568        0.8000653169       -0.2069496652
               24.43        0.6380275648        0.7700135236        0.8224471589       -0.2128340807
               24.44        0.6485749522        0.7611507941        0.8447753319       -0.2194130289
               24.45        0.6596822955        0.7515445889        0.8670525487       -0.2267179414
               24.46        0.6713098766        0.7411768005        0.8892819957        -0.234778196
               24.47        0.6834170207        0.7300282021        0.9114672162       -0.2436211744
               24.48        0.6959620674        0.7180785477        0.9336120051       -0.2532723194
               24.49        0.7089023252        0.7053066662        0.9557203161       -0.2637551891
                24.5        0.7221940114        0.6916905449        0.9777961773       -0.2750915054
               24.51        0.7357921786        0.6772074054        0.9998436164       -0.2873011939
               24.52        0.7496506279        0.6618337678          1.02186659       -0.3004024141
               24.53        0.7637218102        0.6455455032         1.043868921       -0.3144115772
               24.54        0.7779567144        0.6283178738         1.065854233       -0.3293433496
               24.55        0.7923047418        0.6101255577         1.087825889       -0.3452106404
               24.56        0.8067135658         0.590942656         1.109786931       -0.3620245706
               24.57         0.821128973        0.5707426825         1.131740009       -0.3797944205
               24.58        0.8354946836        0.5494985292         1.153687307        -0.398527554
               24.59        0.8497521454        0.5271824081         1.175630458       -0.4182293146
                24.6        0.8638402955         0.503765763         1.197570445       -0.4389028888
               24.61        0.8776952822        0.4792191478         1.219507482        -0.460549132
               24.62        0.8912501362        0.4535120668         1.241440867       -0.4831663478
               24.63        0.9044343787        0.4266127689         1.263368799       -0.5067500125
               24.64        0.9171735499        0.3984879914         1.285288159       -0.5312924315
               24.65         0.929388637        0.3691026434         1.307194211       -0.5567823109
               24.66        0.9409953756        0.3384194189         1.329080241       -0.5832042231
               24.67        0.9519033892        0.3063983316         1.350937073        -0.610537936
               24.68        0.9620151242        0.2729961554         1.372752447       -0.6387575676
               24.69        0.9712245209        0.2381657617         1.394510186       -0.6678305107
                24.7        0.9794153471        0.2018553388         1.416189093       -0.6977160562
               24.71        0.9864590941        0.1640074867         1.437761457       -0.7283636115
               24.72        0.9922123047        0.1245581887          1.45919101        -0.759710373
               24.73        0.9965131641       0.08343568624         1.480430091       -0.7916782535
               24.74        0.9991771318        0.0405593314         1.501415678       -0.8241697837
               24.75        0.9999913413     -0.004161405457         1.522063716       -0.8570625927
               24.76        0.9987074528      -0.05082739139         1.542260947         -0.89020192
               24.77        0.9950326651      -0.09954896012          1.56185296       -0.9233904211
               24.78        0.9886188186         -0.15044212         1.580626606       -0.9563743628
